Close,diff_Daily,fluc_Daily,diff_Close_lag_5_4day,diff_Close_lag_4_3day,diff_Close_lag_3_2day,diff_Close_lag_2_1day,diff_Close_lag_1_0day,Close_next_1day,diff_Close_next_1day,RSI_7,RSI_8,RSI_9,RSI_10,RSI_11,RSI_12,RSI_13,RSI_14,MACD_f11_s25_p8,MACD_Signal_f11_s25_p8,MACD_Hist_f11_s25_p8,MACD_f12_s26_p9,MACD_Signal_f12_s26_p9,MACD_Hist_f12_s26_p9,MACD_f13_s27_p10,MACD_Signal_f13_s27_p10,MACD_Hist_f13_s27_p10,MACD_f14_s28_p11,MACD_Signal_f14_s28_p11,MACD_Hist_f14_s28_p11,MACD_f15_s29_p12,MACD_Signal_f15_s29_p12,MACD_Hist_f15_s29_p12
1.12,0.0,0.020000000000000018,0.009999999999999787,0.0,0.010000000000000009,-0.010000000000000009,0.0,1.12,0.0,66.6666666666668,50.0,44.44444444444452,44.44444444444452,40.00000000000004,40.00000000000004,50.0,46.15384615384621,-0.00905940216474077,-0.009755234729089853,0.0006958325643490818,-0.008860265035904646,-0.009395081631453072,0.0005348165955484253,-0.008620779837582582,-0.009004098325837175,0.00038331848825459355,-0.008352523225749753,-0.008594371193283963,0.00024184796753421063,-0.008065247097320372,-0.008202500495222793,0.00013725339790242146
1.12,0.0,0.019999999999999796,0.0,0.010000000000000009,-0.010000000000000009,0.0,0.0,1.1,-0.020000000000000018,50.0,66.6666666666668,50.0,44.44444444444452,44.44444444444453,40.00000000000004,40.00000000000004,50.0,-0.008498138759073681,-0.009471928217958942,0.0009737894588852606,-0.008371635325290505,-0.009184464011246304,0.0008128286859557989,-0.008197504886329421,-0.008849841873171801,0.0006523369868423803,-0.007987562710860319,-0.00848469407187771,0.0004971313610173909,-0.007751955407987898,-0.008124268752103873,0.0003723133441159744
1.1,-0.010000000000000009,0.020000000000000018,0.010000000000000009,-0.010000000000000009,0.0,0.0,0.020000000000000018,1.1,0.0,20.000000000000085,33.333333333333215,50.0,39.99999999999996,36.36363636363638,36.36363636363639,33.33333333333333,33.33333333333333,-0.00969815434357213,-0.009522752091010814,-0.00017540225256131546,-0.009430450841850346,-0.009234794724269189,-0.00019565611758115727,-0.0091433285390361,-0.008905445415784068,-0.00023788312325203134,-0.00884142452506298,-0.008548275959825926,-0.00029314856523705336,-0.008529736343593886,-0.008193306937080987,-0.00033642940651289893
1.1,0.0,0.030000000000000027,-0.010000000000000009,0.0,0.0,0.020000000000000018,0.0,1.09,-0.010000000000000009,25.000000000000014,20.000000000000085,33.333333333333215,50.0,39.99999999999996,36.36363636363639,36.36363636363639,33.33333333333333,-0.010495369311542824,-0.009740728602834817,-0.0007546407087080063,-0.010151357058691302,-0.009421470034585532,-0.0007298870241057697,-0.009801935790825889,-0.00907400528431193,-0.0007279305065139591,-0.009448429263481106,-0.008706880072711516,-0.0007415491907695904,-0.009093322912899326,-0.00834407502076637,-0.0007492478921329558
1.09,-0.010000000000000009,0.050000000000000044,0.0,0.0,0.020000000000000018,0.0,0.010000000000000009,1.14,0.04999999999999982,20.0,20.0,16.66666666666673,28.571428571428427,44.444444444444414,36.36363636363632,33.33333333333333,33.33333333333333,-0.011847349252363637,-0.010211959270268455,-0.0016353899820951822,-0.01137230346262208,-0.0098173418340766,-0.00155496162854548,-0.010912844292840562,-0.009417615701154448,-0.0014952285916861145,-0.010465941225421549,-0.009013895094520035,-0.0014520461309015138,-0.010030700865459652,-0.008622803239895997,-0.0014078976255636547
1.14,0.0,0.029999999999999805,0.0,0.020000000000000018,0.0,0.010000000000000009,-0.04999999999999982,1.13,-0.010000000000000009,66.66666666666659,59.999999999999915,59.999999999999915,54.54545454545457,58.333333333333286,64.28571428571428,56.24999999999996,52.94117647058825,-0.008352291939507595,-0.009796579494219122,0.0014442875547115274,-0.00832512943791941,-0.009515418414817074,0.0011902889768976646,-0.008238375706660195,-0.009198365744917865,0.0009599900382576704,-0.008105232382036753,-0.008856540923296715,0.0007513085412599613,-0.00793662741792156,-0.008510686718671993,0.0005740593007504333
1.13,-0.010000000000000009,0.019999999999999796,0.020000000000000018,0.0,0.010000000000000009,-0.04999999999999982,0.010000000000000009,1.13,0.0,55.55555555555545,59.999999999999915,54.545454545454454,54.545454545454454,50.0,53.846153846153776,59.99999999999997,52.941176470588175,-0.00643551946613341,-0.009046700030640235,0.0026111805645068244,-0.006619940729818641,-0.008930931941624625,0.0023109912118059843,-0.006717441316368422,-0.008738986867048461,0.0020215455506800394,-0.006745390432848053,-0.008493313165589447,0.0017479227327413943,-0.006718087869287626,-0.008220558001806108,0.0015024701325184828
1.13,0.0,0.009999999999999787,0.0,0.010000000000000009,-0.04999999999999982,0.010000000000000009,0.0,1.12,-0.009999999999999787,55.55555555555545,55.55555555555545,59.999999999999915,54.545454545454454,54.545454545454454,50.0,53.846153846153776,59.99999999999997,-0.004878877451371499,-0.008117648324161807,0.0032387708727903072,-0.005208818277552041,-0.008180975507044054,0.0029721572294920135,-0.0054386703346716025,-0.008129923800273843,0.00269125346560224,-0.00558647575833926,-0.007995864794554733,0.002409389036215473,-0.005667397878303726,-0.007810614235920921,0.0021432163576171953
1.12,-0.009999999999999787,0.019999999999999796,0.010000000000000009,-0.04999999999999982,0.010000000000000009,0.0,0.009999999999999787,1.12,0.0,50.0,50.0,50.0,54.54545454545457,50.0,50.0,46.15384615384622,50.0,-0.004499991532008529,-0.0073117890981853695,0.00281179756617684,-0.004823438980345429,-0.007505480784658895,0.002682041804313466,-0.005059802770411181,-0.007564884404650588,0.002505081634239407,-0.005222235088540694,-0.007523321642922481,0.002301086554381787,-0.005322602160317658,-0.007413796330600399,0.0020911941702827412
1.12,0.0,0.019999999999999796,-0.04999999999999982,0.010000000000000009,0.0,0.009999999999999787,0.0,1.1,-0.020000000000000018,62.500000000000064,50.0,50.0,50.0,54.54545454545457,50.0,50.0,46.15384615384622,-0.004150717346507182,-0.006608014022595749,0.0024572966760885665,-0.00446645533379475,-0.006894791797280615,0.002428336463485865,-0.00470660303124637,-0.007040001610149809,0.0023333985789034386,-0.004880352718899195,-0.00707470053270154,0.002194347813802345,-0.004996773168968405,-0.007030464798702797,0.002033691629734392
